"question_number","section","clause_reference","question_text"
1,"Visit Summary (Section 0)","5.5.1","People Present at the Opening Meeting."
2,"Visit Summary (Section 0)","5.5.3","People who provided assistance during the audit."
3,"Visit Summary (Section 0)","5.5.8","People Present at the Closing Meeting."
4,"Client Logistics (Section 1)","1.1","Description of Facility."
5,"Client Logistics (Section 1)","1.2","Location audited during visit and description of operations."
7,"Client Logistics (Section 1)","3.28","Product forms and classifications of dietary supplements manufactured at this site under NSF/ANSI 455 GMP Certification Program."
8,"Administration and Regulatory (Section A)","4.1.3","US FDA facility and Bioterrorism registrations and process filings shall be current and maintained. (physical address, scope, expiration dates, etc.) [21CFR111.10 (b1), (b2),(b3)]"
9,"Quality Management (Section B)","4.2.9","Hygienic practices shall be established to include appropriate garments, personal hygiene, hand washing, and sanitization, etc. prior to starting work and at any time whereby personnel can become soiled or contaminated. [21CFR111.10(b1),(b2),(b3)]"
10,"Quality Management (Section B)","4.2.10","Procedures shall be in place for use of impermeable gloves, hairnets, caps, beard covers, etc. and for restrictions on the use of food, drinks, tobacco, etc. in areas whereby product contamination could occur. Procedures shall be established to prevent contamination from all potential sources. [21CFR111.10(b5), (b6), (b8), (b9)]"
11,"Quality Management (Section B)","4.2.8","Procedures shall be established that define work requirements for personnel to prevent microbial contamination due to a health condition. [21CFR111.10(a)]"
12,"Quality Management (Section B)","4.2.11","Procedures shall be in place for the control of jewelry and other personal care items. [21CFR111.10(b4)]"
13,"Quality Management (Section B)","4.2.2","Management shall conduct biennial reviews to assess the suitability and effectiveness of the quality system."
14,"Quality Management (Section B)","4.2.12","Visitor (regulator, contractor, customer, non-site employee, etc.) policy and procedures shall be established."
15,"Quality Management (Section B)","4.2.1","Procedures shall be established for the responsibilities of the QC operations. [21CFR111.103 and 21CFR111.105]"
16,"Quality Management (Section B)","4.1.2","Quality control (QC) operations shall be identified and implemented. [21CFR111.65]"
17,"Quality Management (Section B)","4.1.1","Quality responsibilities shall be distinct and separate from operations. [21CFR111.12(b)]"
18,"Quality Management (Section B)","4.2.5","QC operations and responsibilities shall include the authority to reject any component or product if any specification is not met. [21CFR111.113(a)]"
19,"Quality Management (Section B)","4.4.33","Procedures shall be established to determine the requirements and qualifications (such as education, training, or experience) for personnel who will supervise activities. [21CFR111.13(a), (b) & 21CFR 117.4]"
20,"Quality Management (Section B)","4.4.32","Personnel shall be qualified and have adequate training, experience and/or education necessary to perform job functions. [21CFR111.12 (c) & 21CFR 117.4]"
21,"Quality Management (Section B)","4.4.31","Controls shall be in place to verify the backgrounds of new, contracted, seasonal and temporary employees prior to hiring."
22,"Quality Management (Section B)","4.2.6","Sanitation supervisors shall be assigned and shall be qualified. [21CFR111.15(k)]"
23,"Quality Management (Section B)","4.2.7","Competent supervisory personnel shall be responsible for ensuring transportation operations are conducted in compliance with 21CFR 1.908. [21CFR1.908]"
24,"Quality Management (Section B)","4.4.35","Job descriptions shall be available for all personnel and personnel have received food safety, GMP, and appropriate training for their assigned functions. [21CFR111.12(a) & 21CFR117.4]"
25,"Quality Management (Section B)","4.4.34","Records shall be maintained documenting compliance to established procedures that ensure that supervisors are appropriately qualified by education, training, or experience. [21CFR111.14(a), (b) & 21CFR 117.4]"
26,"Quality Management (Section B)","4.4.36","A document control program shall be established and followed outlining the initiation, formatting, review, approval, distribution (to include personnel training requirements), document storage, change control, retention, and disposal of documents and records. [21CFR111.105]"
27,"Quality Management (Section B)","4.4.37","Good documentation practices shall be established and followed concerning paper and electronic documents and records. [21CFR111.105]"
28,"Quality Management (Section B)","4.4.41","Procedures shall be established that describe the requirements for record retention under Subpart P - Records and Recordkeeping. [21CFR111.605]"
29,"Quality Management (Section B)","4.4.43","All records shall be maintained as original record, as true copies or as electronic records. [21CFR111.605(b)]"
30,"Quality Management (Section B)","4.4.45","Electronic GMP inventory records that are created, modified, maintained, archived, retrieved, or distributed by a computer system, shall be 21CFR11 compliant. [21CFR11]"
31,"Quality Management (Section B)","4.4.46","Backup electronic files shall be maintained of the following; current software programs, outdated software programs that may be necessary to retrieve past records, and data that was entered. Backup files shall be an exact and complete record and are secure from alterations, erasures, or loss and damage. [21CFR111.35(b5i), (b5ii)]"
32,"Quality Management (Section B)","4.4.38","QC operations shall prepare and maintain all records required by Subpart F - Production and Process Control System: Requirements for Quality Control. [21CFR111.140]"
33,"Quality Management (Section B)","4.4.44","QC operations shall maintain appropriate records as required. [21CFR111.325]"
34,"Quality Management (Section B)","4.4.42","Records required by 21 CFR 111 shall be maintained for at least one year after the shelf life date or at least two years beyond the date of distribution of the last batch associated with those records. [21CFR111.605(a)]"
35,"Quality Management (Section B)","4.3.6","A crisis management plan is developed to manage significant disruptive events, including, but not limited to, natural disasters and catastrophic events that may impact the ability of the manufacturer to deliver a safe product."
36,"Quality Management (Section B)","4.6.25","Procedures shall be established to define the recall of a product. The written recall plan shall include procedures that describe the steps to be taken, and assign responsibility for taking those steps as appropriate to the facility. [21CFR117.139]"
37,"Quality Management (Section B)","4.6.26","Procedures shall be established to define traceability and mock recall exercises at a minimum of once a year to include trace forward and trace backward"
38,"Corrective and Preventive Actions and Complaints (Section C)","4.7.3","Procedures shall be established for a corrective and preventative action (CAPA) program for handling all nonconformances identified within the scope of this Standard."
39,"Corrective and Preventive Actions and Complaints (Section C)","4.6.19","QC operations shall ensure product complaints and deviations/unplanned occurrences are handled properly. [21CFR111.135]"
40,"Corrective and Preventive Actions and Complaints (Section C)","4.6.20","Procedures shall be established describing how product complaints will be received, investigated, and documented and that the product complaint information includes adequate information. [21CFR111.553 & 21CFR111.570(b2ii)]"
41,"Corrective and Preventive Actions and Complaints (Section C)","4.6.21","All product complaints shall be reviewed by a qualified person to determine if the complaint was the result of a failure of the dietary supplement to meet any of its specifications or quality. [21CFR111.560(a)]"
42,"Corrective and Preventive Actions and Complaints (Section C)","4.6.22","The decision to investigate a complaint as well as the final decision as a result of the investigation, including corrective action, shall be approved by the QC unit. [21CFR111.560(b)]"
43,"Corrective and Preventive Actions and Complaints (Section C)","4.6.23","The investigation for a product complaint shall be appropriately extended to other batches, products, processes, etc. [21CFR111.560(c)]"
44,"Corrective and Preventive Actions and Complaints (Section C)","4.6.24","Records for each product complaint and investigation shall be maintained. Records shall be maintained for at least one year after the shelf life date, if shelf life dating is being used, or at least two years beyond the date of distribution of the last batch associated with those records. [21CFR111.570(a)]"
45,"Corrective and Preventive Actions and Complaints (Section C)","4.6.28","An internal audit program shall be established and is conducted. QC personnel shall have established roles and responsibilities. [21CFR111.105]"
46,"Supplier Qualification (Section D)","4.5.24","Supplier qualification procedures shall be established and include initial qualification, periodic examination (requalification), and procedures for disqualification. [21CFR111.75(a2iiA), (b), (c), (d), (e)]"
